15:55:24.651 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 9105: LOAD
15:55:24.651 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Loaded to ship 9105: 234 containers. Available containers: 3310
15:55:24.717 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 4455left the port. Current load: 677
15:55:24.717 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 3093 docked at the port.
15:55:24.717 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 3093: LOAD
15:55:24.717 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Loaded to ship 3093: 290 containers. Available containers: 3020
15:55:25.111 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 3093left the port. Current load: 340
15:55:25.111 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 8236 docked at the port.
15:55:25.111 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 8236: UNLOAD_AND_LOAD
15:55:25.112 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Unloaded from ship 8236: 13 containers. Available containers: 3033
15:55:25.112 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Loaded to ship 8236: 426 containers. Available containers: 2607
15:55:25.242 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 1826left the port. Current load: 478
15:55:25.242 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 4605 docked at the port.
15:55:25.242 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Get activity for ship 4605: UNLOAD_AND_LOAD
15:55:25.243 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Unloaded from ship 4605: 544 containers. Available containers: 3151
15:55:25.243 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Loaded to ship 4605: 0 containers. Available containers: 3151
15:55:25.611 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 9105left the port. Current load: 909
15:55:25.700 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 4605left the port. Current load: 404
15:55:25.822 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 8236left the port. Current load: 825
16:06:01.999 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 7043
